Unnamed: 0,Unnamed: 0.1.1,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,11:17:41:537,276.41,31.61,418.62,0.5539999999999999,941.747,416.44405455375124,276.41
1,1,26/1/2021,11:17:41:631,275.91,31.59,420.22,0.5539999999999999,941.747,416.51886199003724,276.41
2,2,26/1/2021,11:17:41:787,275.41,31.53,436.32,0.5539999999999999,941.747,416.5938154965297,276.41
3,3,26/1/2021,11:17:41:849,277.41,31.57,420.22,0.5539999999999999,941.747,416.66888885655663,276.41
4,4,26/1/2021,11:17:41:959,275.91,31.57,419.92,0.5539999999999999,941.747,416.7440627508339,276.41
5,5,26/1/2021,11:17:42:68,276.91,31.53,419.32,0.5539999999999999,941.747,416.8193232399017,276.41
6,6,26/1/2021,11:17:42:178,275.91,31.45,418.92,0.5539999999999999,941.747,416.8946593206202,276.41
7,7,26/1/2021,11:17:42:287,275.91,31.47,413.82,0.5539999999999999,941.747,416.97006162525565,276.41
8,8,26/1/2021,11:17:42:396,275.91,31.49,407.02,0.5539999999999999,941.747,417.0455209082402,276.41
9,9,26/1/2021,11:17:42:521,275.91,31.53,424.42,0.5539999999999999,941.747,417.1210260676915,276.41
10,10,26/1/2021,11:17:42:615,275.91,31.51,413.52,0.5539999999999999,941.747,417.19656395991166,276.41
11,11,26/1/2021,11:17:42:787,276.41,31.57,418.92,0.5539999999999999,941.747,417.2721208758973,276.41
12,12,26/1/2021,11:17:42:834,275.91,31.55,404.62,0.5539999999999999,941.747,417.34768269902963,276.41
13,13,26/1/2021,11:17:42:943,275.91,31.55,439.42,0.5539999999999999,941.747,417.42323411882035,276.41
14,14,26/1/2021,11:17:43:52,276.91,31.59,409.22,0.5539999999999999,941.747,417.49876010738114,276.41
15,15,26/1/2021,11:17:43:162,275.91,31.59,403.72,0.5539999999999999,941.747,417.57424725137435,276.41
16,16,26/1/2021,11:17:43:286,277.41,31.57,400.62,0.5539999999999999,941.747,417.64968002107423,276.41
17,17,26/1/2021,11:17:43:380,276.41,31.53,420.22,0.5539999999999999,941.747,417.7250356664642,276.41
18,18,26/1/2021,11:17:43:521,276.41,31.47,424.72,0.5539999999999999,941.747,417.80028470922247,276.41
19,19,26/1/2021,11:17:43:599,275.41,31.53,443.12,0.5539999999999999,941.597,417.8753970351279,276.41
20,20,26/1/2021,11:17:43:708,275.91,31.51,419.32,0.5539999999999999,941.747,417.9503487091704,276.41
21,21,26/1/2021,11:17:43:818,275.91,31.53,423.52,0.5539999999999999,941.597,418.02512449564176,276.41
22,22,26/1/2021,11:17:43:927,276.41,31.53,420.52,0.5539999999999999,941.747,418.09971550512057,276.41
23,23,26/1/2021,11:17:44:36,275.91,31.61,435.72,0.5539999999999999,941.747,418.1741169544922,276.41
24,24,26/1/2021,11:17:44:146,276.41,31.51,420.82,0.5539999999999999,941.747,418.2483290569817,276.41
25,25,26/1/2021,11:17:44:271,277.41,31.55,419.92,0.5539999999999999,941.747,418.32235800264846,276.41
26,26,26/1/2021,11:17:44:364,275.91,31.57,418.92,0.5539999999999999,941.597,418.39621426981364,276.41
27,27,26/1/2021,11:17:44:521,276.41,31.53,437.92,0.5539999999999999,941.597,418.4699109998447,276.41
28,28,26/1/2021,11:17:44:583,275.91,31.53,409.52,0.5539999999999999,941.747,418.5434649870743,276.41
29,29,26/1/2021,11:17:44:693,275.91,31.55,403.72,0.5539999999999999,941.747,418.6168961603469,276.41
30,30,26/1/2021,11:17:44:802,275.41,31.59,438.52,0.5539999999999999,941.747,418.69022374509973,276.41
31,31,26/1/2021,11:17:44:911,275.91,31.53,415.92,0.5539999999999999,941.747,418.76346563218885,276.41
32,32,26/1/2021,11:17:45:20,275.91,31.53,437.92,0.5539999999999999,941.597,418.8366423354776,276.41
33,33,26/1/2021,11:17:45:130,275.91,31.57,412.52,0.5539999999999999,941.747,418.90977966682,276.41
34,34,26/1/2021,11:17:45:270,276.41,31.57,412.22,0.5539999999999999,941.747,418.9829075314856,276.41
35,35,26/1/2021,11:17:45:349,275.41,31.51,405.52,0.5539999999999999,941.747,419.0560555892128,276.41
36,36,26/1/2021,11:17:45:458,275.91,31.75,401.52,0.5539999999999999,941.747,419.1292481339299,276.41
37,37,26/1/2021,11:17:45:567,276.91,31.53,402.22,0.5539999999999999,941.747,419.20250033290574,276.41
38,38,26/1/2021,11:17:45:677,276.91,31.59,420.52,0.5539999999999999,941.747,419.27581681892633,276.41
39,39,26/1/2021,11:17:45:786,275.91,31.57,404.92,0.5539999999999999,941.747,419.3491934032805,276.41
40,40,26/1/2021,11:17:45:895,275.91,31.45,405.52,0.5539999999999999,941.747,419.4226191364656,276.41
41,41,26/1/2021,11:17:46:20,276.41,31.51,437.92,0.5539999999999999,941.597,419.4960769371476,276.41
42,42,26/1/2021,11:17:46:114,275.91,31.49,423.52,0.5539999999999999,941.747,419.5695469128736,276.41
43,43,26/1/2021,11:17:46:286,275.41,31.55,415.62,0.5539999999999999,941.747,419.64301153249687,276.41
44,44,26/1/2021,11:17:46:333,275.41,31.51,423.22,0.5539999999999999,941.597,419.71645646734294,276.41
45,45,26/1/2021,11:17:46:443,275.41,31.55,429.32,0.5539999999999999,941.747,419.78986890769806,276.41
46,46,26/1/2021,11:17:46:552,275.91,31.49,405.22,0.5539999999999999,941.747,419.8632375052257,276.41
47,47,26/1/2021,11:17:46:662,275.41,31.59,404.02,0.5539999999999999,941.747,419.9365505810977,276.41
48,48,26/1/2021,11:17:46:771,275.91,31.55,406.72,0.5539999999999999,941.747,420.0097908926449,276.41
49,49,26/1/2021,11:17:46:880,275.41,31.61,410.12,0.5529999999999999,941.747,420.0829318182076,276.41
50,50,26/1/2021,11:17:47:21,275.91,31.59,440.92,0.5529999999999999,941.747,420.1559387359238,276.41
51,51,26/1/2021,11:17:47:99,276.41,31.61,417.72,0.5529999999999999,941.747,420.2287748422369,276.41
52,52,26/1/2021,11:17:47:208,275.41,31.59,418.62,0.5529999999999999,941.747,420.3014060310832,276.41
53,53,26/1/2021,11:17:47:318,275.91,31.43,438.22,0.5529999999999999,941.747,420.3738013200124,276.41
54,54,26/1/2021,11:17:47:427,275.41,31.47,415.32,0.5539999999999999,941.747,420.44593274803236,276.41
55,55,26/1/2021,11:17:47:536,275.41,31.61,438.22,0.5539999999999999,941.747,420.51777664661637,276.41
56,56,26/1/2021,11:17:47:646,275.41,31.59,402.52,0.5539999999999999,941.747,420.5893134882252,276.41
57,57,26/1/2021,11:17:47:770,277.41,31.55,416.22,0.5539999999999999,941.747,420.66052495743867,276.41
58,58,26/1/2021,11:17:47:864,275.91,31.57,420.52,0.5539999999999999,941.747,420.73138999707885,276.41
59,59,26/1/2021,11:17:48:36,274.91,31.59,405.52,0.5539999999999999,941.747,420.8018831534294,276.41
60,60,26/1/2021,11:17:48:83,274.91,31.59,423.52,0.5539999999999999,941.747,420.8719746560117,276.41
61,61,26/1/2021,11:17:48:192,275.91,31.55,405.22,0.5539999999999999,941.747,420.94163012276846,276.41
62,62,26/1/2021,11:17:48:302,276.91,31.61,418.02,0.5539999999999999,941.747,421.01081014359664,276.41
63,63,26/1/2021,11:17:48:411,275.91,31.53,423.82,0.5529999999999999,941.597,421.07947041971534,276.41
64,64,26/1/2021,11:17:48:520,275.91,31.57,418.92,0.5529999999999999,941.747,421.1475635157434,276.41
65,65,26/1/2021,11:17:48:630,275.91,31.59,423.82,0.5529999999999999,941.597,421.21504120380376,276.41
66,66,26/1/2021,11:17:48:770,275.41,31.35,423.22,0.5529999999999999,941.597,421.2818555705384,276.41
67,67,26/1/2021,11:17:48:853,275.91,31.61,423.22,0.5529999999999999,941.597,421.3479595645327,276.41
68,68,26/1/2021,11:17:48:963,275.41,31.59,423.22,0.5539999999999999,941.747,421.4133074493728,276.41
69,69,26/1/2021,11:17:49:72,275.41,31.55,423.52,0.5529999999999999,941.747,421.477854882354,276.41
70,70,26/1/2021,11:17:49:181,275.41,31.55,412.82,0.5529999999999999,941.747,421.54155841111464,276.41
71,71,26/1/2021,11:17:49:291,276.91,31.57,417.12,0.5539999999999999,941.597,421.60437376948335,276.41
72,72,26/1/2021,11:17:49:400,275.91,31.53,420.22,0.5539999999999999,941.747,421.666253902948,276.41
73,73,26/1/2021,11:17:49:525,277.41,31.53,442.12,0.5529999999999999,941.597,421.72714971817084,276.41
74,74,26/1/2021,11:17:49:619,276.91,31.51,420.82,0.5539999999999999,941.747,421.78701416629934,276.41
75,75,26/1/2021,11:17:49:775,275.91,31.63,423.82,0.5539999999999999,941.597,421.8458051753,276.41
76,76,26/1/2021,11:17:49:837,275.41,31.59,420.82,0.5539999999999999,941.747,421.90348433759857,276.41
77,77,26/1/2021,11:17:49:947,275.91,31.53,415.62,0.5539999999999999,941.597,421.9600140448477,276.41
78,78,26/1/2021,11:17:50:56,275.91,31.57,425.72,0.5539999999999999,941.597,422.0153557300194,276.41
79,79,26/1/2021,11:17:50:166,275.91,31.49,426.32,0.5539999999999999,941.747,422.0694698627002,276.41
80,80,26/1/2021,11:17:50:275,275.91,31.41,433.32,0.5539999999999999,941.747,422.1223179957015,276.41
81,81,26/1/2021,11:17:50:384,275.91,31.51,423.52,0.5539999999999999,941.597,422.1738653003279,276.41
82,82,26/1/2021,11:17:50:525,276.41,31.61,420.82,0.5539999999999999,941.747,422.2240810972708,276.41
83,83,26/1/2021,11:17:50:603,275.91,31.55,407.02,0.5539999999999999,941.747,422.27293634436967,276.41
84,84,26/1/2021,11:17:50:712,275.41,31.53,442.12,0.5539999999999999,941.597,422.3204005065885,276.41
85,85,26/1/2021,11:17:50:822,276.41,31.59,404.62,0.5539999999999999,941.747,422.3664414981382,276.41
86,86,26/1/2021,11:17:50:931,276.91,31.61,423.22,0.5539999999999999,941.597,422.4110266101893,276.41
87,87,26/1/2021,11:17:51:40,275.91,31.51,404.92,0.5539999999999999,941.747,422.4541205671659,276.41
88,88,26/1/2021,11:17:51:150,275.91,31.49,422.62,0.5539999999999999,941.597,422.49568283888453,276.41
89,89,26/1/2021,11:17:51:291,275.91,31.47,441.52,0.5539999999999999,941.597,422.5356683681865,276.41
90,90,26/1/2021,11:17:51:369,275.91,31.55,423.22,0.5539999999999999,941.747,422.57403245930334,276.41
91,91,26/1/2021,11:17:51:525,275.91,31.49,423.22,0.5539999999999999,941.747,422.6107349357005,276.41
92,92,26/1/2021,11:17:51:588,276.41,31.55,424.72,0.5539999999999999,941.747,422.64573943490564,276.41
93,93,26/1/2021,11:17:51:697,276.41,31.49,426.02,0.5539999999999999,941.597,422.6790112592817,276.41
94,94,26/1/2021,11:17:51:806,276.41,31.47,426.32,0.5539999999999999,941.747,422.71051717912064,276.41
95,95,26/1/2021,11:17:51:916,275.91,31.35,420.52,0.5539999999999999,941.747,422.74022582412215,276.41
96,96,26/1/2021,11:17:52:25,275.91,31.53,421.12,0.5539999999999999,941.747,422.7681070238234,276.41
97,97,26/1/2021,11:17:52:134,275.41,31.45,420.52,0.5539999999999999,941.597,422.7941304086327,276.41
98,98,26/1/2021,11:17:52:275,275.91,31.53,438.52,0.5539999999999999,941.597,422.81826522258507,276.41
99,99,26/1/2021,11:17:52:353,276.41,31.47,425.42,0.5539999999999999,941.747,422.8404826485717,276.41
100,100,26/1/2021,11:17:52:463,275.41,31.51,429.02,0.5539999999999999,941.747,422.860758383334,276.41
101,101,26/1/2021,11:17:52:572,275.41,31.45,436.32,0.5539999999999999,941.747,422.8790732763007,276.41
102,102,26/1/2021,11:17:52:681,275.41,31.55,441.22,0.5539999999999999,941.597,422.8954142769385,276.41
103,103,26/1/2021,11:17:52:791,275.41,31.53,441.22,0.5539999999999999,941.747,422.90977734364805,276.41
104,104,26/1/2021,11:17:52:900,276.41,31.41,408.32,0.5539999999999999,941.747,422.9221687552677,276.41
105,105,26/1/2021,11:17:53:25,275.41,31.47,404.32,0.5539999999999999,941.747,422.9326001913426,276.41
106,106,26/1/2021,11:17:53:119,275.91,31.49,404.92,0.5539999999999999,941.747,422.9410793335257,276.41
107,107,26/1/2021,11:17:53:291,275.41,31.55,403.42,0.5539999999999999,941.747,422.94760287113365,276.41
108,108,26/1/2021,11:17:53:338,275.41,31.43,403.72,0.5539999999999999,941.747,422.9521541916462,276.41
109,109,26/1/2021,11:17:53:447,275.91,31.47,442.12,0.5529999999999999,941.747,422.95470468575945,276.41
110,110,26/1/2021,11:17:53:556,275.41,31.55,441.52,0.5539999999999999,941.747,422.9552204916414,276.41
111,111,26/1/2021,11:17:53:666,275.91,31.53,423.52,0.5539999999999999,941.747,422.9536719640362,276.41
112,112,26/1/2021,11:17:53:791,275.41,31.51,438.22,0.5539999999999999,941.747,422.9500378741738,276.41
113,113,26/1/2021,11:17:53:885,275.41,31.47,421.72,0.5539999999999999,941.597,422.94430406951966,276.41
114,114,26/1/2021,11:17:54:26,275.91,31.47,442.12,0.5539999999999999,941.747,422.93646212147934,276.41
115,115,26/1/2021,11:17:54:104,276.91,31.51,422.62,0.5539999999999999,941.747,422.92650950568606,276.41
116,116,26/1/2021,11:17:54:213,275.41,31.51,420.22,0.5539999999999999,941.597,422.9144491876403,276.41
117,117,26/1/2021,11:17:54:323,275.41,31.47,425.12,0.5539999999999999,941.597,422.90028707360716,276.41
118,118,26/1/2021,11:17:54:432,276.41,31.53,420.22,0.5539999999999999,941.747,422.8840294314196,276.41
119,119,26/1/2021,11:17:54:541,276.41,31.53,419.92,0.5539999999999999,941.747,422.865682015491,276.41
120,120,26/1/2021,11:17:54:651,275.41,31.57,438.22,0.5539999999999999,941.597,422.8452502998671,276.41
121,121,26/1/2021,11:17:54:807,275.91,31.45,426.02,0.5539999999999999,941.747,422.822741501289,276.41
122,122,26/1/2021,11:17:54:869,275.91,31.47,431.52,0.5529999999999999,941.597,422.7981673218736,276.41
123,123,26/1/2021,11:17:55:25,276.41,31.47,437.92,0.5529999999999999,941.597,422.7715452344892,276.41
124,124,26/1/2021,11:17:55:88,276.41,31.47,424.12,0.5529999999999999,941.597,422.74289914635625,276.41
125,125,26/1/2021,11:17:55:198,275.91,31.53,439.72,0.5539999999999999,941.747,422.71225980668726,276.41
126,126,26/1/2021,11:17:55:307,276.41,31.47,439.72,0.5539999999999999,941.597,422.67966531063416,276.41
127,127,26/1/2021,11:17:55:416,275.41,31.53,406.72,0.5539999999999999,941.747,422.6451616543534,276.41
128,128,26/1/2021,11:17:55:541,275.41,31.49,422.62,0.5539999999999999,941.747,422.6087997099578,276.41
129,129,26/1/2021,11:17:55:635,275.91,31.43,416.82,0.5539999999999999,941.747,422.5706296229711,276.41
130,130,26/1/2021,11:17:55:780,275.91,31.41,426.92,0.5539999999999999,941.747,422.5306985939244,276.41
131,131,26/1/2021,11:17:55:847,277.41,31.49,441.52,0.5539999999999999,941.747,422.4890532002642,276.41
132,132,26/1/2021,11:17:55:956,276.41,31.45,421.12,0.5539999999999999,941.747,422.4457435486828,276.41
133,133,26/1/2021,11:17:56:66,275.91,31.45,420.82,0.5539999999999999,941.597,422.40082512531256,276.41
134,134,26/1/2021,11:17:56:175,276.91,31.51,420.52,0.5539999999999999,941.747,422.3543563249054,276.41
135,135,26/1/2021,11:17:56:284,275.91,31.65,436.02,0.555,941.597,422.30639602182083,276.41
136,136,26/1/2021,11:17:56:394,275.91,31.53,432.42,0.555,941.597,422.25700518433166,276.41
137,137,26/1/2021,11:17:56:519,275.91,31.53,401.92,0.5539999999999999,941.747,422.20624901391284,276.41
138,138,26/1/2021,11:17:56:612,275.91,31.45,419.62,0.5539999999999999,941.597,422.1541940813652,276.41
139,139,26/1/2021,11:17:56:784,276.91,31.43,438.22,0.5529999999999999,941.597,422.1009041857805,276.41
140,140,26/1/2021,11:17:56:831,275.91,31.47,419.92,0.5539999999999999,941.597,422.04644204966087,276.41
141,141,26/1/2021,11:17:56:941,275.91,31.49,427.82,0.5529999999999999,941.597,421.9908732686257,276.41
142,142,26/1/2021,11:17:57:50,275.41,31.51,419.92,0.5539999999999999,941.597,421.93426662172925,276.41
143,143,26/1/2021,11:17:57:160,276.41,31.51,419.92,0.5529999999999999,941.597,421.87669235922,276.41
144,144,26/1/2021,11:17:57:284,276.41,31.57,427.52,0.5539999999999999,941.597,421.8182210465685,276.41
145,145,26/1/2021,11:17:57:378,275.41,31.59,423.22,0.5539999999999999,941.597,421.75892371444144,276.41
146,146,26/1/2021,11:17:57:519,275.91,31.49,422.92,0.5539999999999999,941.597,421.6988728132456,276.41
147,147,26/1/2021,11:17:57:597,275.91,31.53,420.82,0.5539999999999999,941.597,421.63814231466523,276.41
148,148,26/1/2021,11:17:57:706,275.41,31.53,420.82,0.5539999999999999,941.597,421.5768068607787,276.41
149,149,26/1/2021,11:17:57:815,275.91,31.45,411.62,0.5539999999999999,941.597,421.5149405749326,276.41
150,150,26/1/2021,11:17:57:925,275.41,31.51,421.72,0.5539999999999999,941.597,421.45261550722665,276.41
151,151,26/1/2021,11:17:58:34,275.91,31.43,409.82,0.5539999999999999,941.747,421.3899003784628,276.41
152,152,26/1/2021,11:17:58:144,276.41,31.47,442.42,0.5539999999999999,941.597,421.32686102260453,276.41
153,153,26/1/2021,11:17:58:284,275.91,31.51,415.92,0.5539999999999999,941.597,421.26356330903224,276.41
154,154,26/1/2021,11:17:58:362,275.91,31.53,421.42,0.5539999999999999,941.597,421.2000757895323,276.41
155,155,26/1/2021,11:17:58:518,276.41,31.51,423.52,0.5529999999999999,941.597,421.13646900332014,276.41
156,156,26/1/2021,11:17:58:581,276.91,31.55,420.52,0.5539999999999999,941.597,421.072813942145,276.41
157,157,26/1/2021,11:17:58:691,275.91,31.49,420.22,0.5539999999999999,941.747,421.0091819065382,276.41
158,158,26/1/2021,11:17:58:800,276.41,31.47,439.12,0.5529999999999999,941.597,420.94564516602,276.41
159,159,26/1/2021,11:17:58:909,276.41,31.51,419.92,0.5539999999999999,941.747,420.8822790238957,276.41
160,160,26/1/2021,11:17:59:18,275.91,31.51,433.32,0.5539999999999999,941.747,420.81916393166375,276.41
161,161,26/1/2021,11:17:59:128,275.41,31.43,419.92,0.5529999999999999,941.747,420.7563855483244,276.41
162,162,26/1/2021,11:17:59:268,275.91,31.53,419.92,0.5529999999999999,941.747,420.6940333813519,276.41
163,163,26/1/2021,11:17:59:347,275.41,31.55,419.62,0.5529999999999999,941.747,420.6321987409236,276.41
164,164,26/1/2021,11:17:59:456,275.91,31.51,430.52,0.5539999999999999,941.747,420.5709734074362,276.41
165,165,26/1/2021,11:17:59:565,275.41,31.47,427.22,0.5539999999999999,941.747,420.510450809778,276.41
166,166,26/1/2021,11:17:59:675,275.91,31.51,418.32,0.5539999999999999,941.597,420.4507279709509,276.41
167,167,26/1/2021,11:17:59:784,275.41,31.55,416.82,0.5539999999999999,941.747,420.39190493753784,276.41
168,168,26/1/2021,11:17:59:893,275.91,31.51,410.12,0.5539999999999999,941.747,420.3340817335922,276.41
169,169,26/1/2021,11:18:0:18,275.41,31.49,427.52,0.5539999999999999,941.597,420.27735581519835,276.41
170,170,26/1/2021,11:18:0:112,275.41,31.53,411.62,0.5539999999999999,941.747,420.2218220489924,276.41
171,171,26/1/2021,11:18:0:268,275.91,31.45,420.52,0.5539999999999999,941.747,420.1675737196328,276.41
172,172,26/1/2021,11:18:0:330,275.91,31.51,409.22,0.5539999999999999,941.747,420.1147021995506,276.41
173,173,26/1/2021,11:18:0:440,275.91,31.49,441.82,0.5529999999999999,941.597,420.0632967442317,276.41
174,174,26/1/2021,11:18:0:549,275.91,31.47,415.02,0.5539999999999999,941.747,420.0134470370034,276.41
175,175,26/1/2021,11:18:0:659,275.41,31.59,408.32,0.5539999999999999,941.747,419.96524527660597,276.41
176,176,26/1/2021,11:18:0:783,275.91,31.45,402.82,0.5539999999999999,941.747,419.91878287102884,276.41
177,177,26/1/2021,11:18:0:877,275.91,31.45,420.22,0.5539999999999999,941.747,419.8741450797031,276.41
178,178,26/1/2021,11:18:1:18,275.91,31.51,420.82,0.5529999999999999,941.597,419.831410306353,276.41
179,179,26/1/2021,11:18:1:96,275.91,31.49,403.42,0.5539999999999999,941.747,419.79065287269134,276.41
180,180,26/1/2021,11:18:1:206,276.41,31.51,419.32,0.5529999999999999,941.747,419.75194368157287,276.41
181,181,26/1/2021,11:18:1:315,275.91,31.55,404.92,0.5529999999999999,941.747,419.7153486476083,276.41
182,182,26/1/2021,11:18:1:424,276.41,31.53,419.92,0.5529999999999999,941.597,419.68092799345237,276.41
183,183,26/1/2021,11:18:1:533,276.41,31.53,422.62,0.5529999999999999,941.747,419.6487372924215,276.41
184,184,26/1/2021,11:18:1:644,275.41,31.51,434.52,0.5539999999999999,941.747,419.61883070000573,276.41
185,185,26/1/2021,11:18:1:771,275.41,31.57,402.22,0.5539999999999999,941.747,419.59126445927285,276.41
186,186,26/1/2021,11:18:1:865,275.91,31.57,405.22,0.5539999999999999,941.747,419.56609561269636,276.41
187,187,26/1/2021,11:18:2:37,275.91,31.55,424.42,0.5539999999999999,941.747,419.54337695011367,276.41
188,188,26/1/2021,11:18:2:84,275.91,31.51,405.52,0.5539999999999999,941.747,419.52315515709716,276.41
189,189,26/1/2021,11:18:2:193,276.41,31.51,411.62,0.5539999999999999,941.747,419.50547197852563,276.41
190,190,26/1/2021,11:18:2:302,276.41,31.51,421.42,0.5539999999999999,941.747,419.4903642602788,276.41
191,191,26/1/2021,11:18:2:412,276.41,31.55,424.12,0.5539999999999999,941.747,419.4778649601333,276.41
192,192,26/1/2021,11:18:2:521,276.41,31.47,421.72,0.5539999999999999,941.597,419.4680064421057,276.41
193,193,26/1/2021,11:18:2:630,275.91,31.59,408.62,0.5539999999999999,941.747,419.46082223784464,276.41
194,194,26/1/2021,11:18:2:771,275.91,31.59,405.22,0.5539999999999999,941.747,419.4563448135969,276.41
195,195,26/1/2021,11:18:2:849,275.91,31.57,404.92,0.5539999999999999,941.747,419.4546010860659,276.41
196,196,26/1/2021,11:18:2:959,276.41,31.55,408.32,0.5539999999999999,941.747,419.45560912864914,276.41
197,197,26/1/2021,11:18:3:68,275.91,31.57,403.72,0.5539999999999999,941.747,419.45937729198965,276.41
198,198,26/1/2021,11:18:3:177,275.41,31.47,414.42,0.5539999999999999,941.747,419.4659045690748,276.41
199,199,26/1/2021,11:18:3:286,275.41,31.51,418.92,0.5539999999999999,941.747,419.4751820829325,276.41
200,200,26/1/2021,11:18:3:396,275.91,31.49,402.22,0.5539999999999999,941.747,419.48719536271074,276.41
201,201,26/1/2021,11:18:3:521,274.91,31.51,420.22,0.5539999999999999,941.747,419.5019250776711,276.41
202,202,26/1/2021,11:18:3:615,276.41,31.45,430.82,0.5539999999999999,941.597,419.5193475298384,276.41
203,203,26/1/2021,11:18:3:786,275.41,31.51,408.62,0.5539999999999999,941.747,419.5394376196852,276.41
204,204,26/1/2021,11:18:3:833,275.41,31.53,425.42,0.5539999999999999,941.747,419.56217095175435,276.41
205,205,26/1/2021,11:18:3:943,275.41,31.55,420.82,0.5539999999999999,941.747,419.5875233594737,276.41
206,206,26/1/2021,11:18:4:52,276.91,31.53,419.92,0.5539999999999999,941.747,419.61547103777946,276.41
207,207,26/1/2021,11:18:4:161,275.41,31.53,403.42,0.5539999999999999,941.747,419.6459904028616,276.41
208,208,26/1/2021,11:18:4:270,276.41,31.51,423.52,0.5539999999999999,941.747,419.67905568278917,276.41
209,209,26/1/2021,11:18:4:380,276.41,31.47,405.52,0.5539999999999999,941.747,419.7146368721088,276.41
210,210,26/1/2021,11:18:4:521,277.81,31.45,420.52,0.5539999999999999,941.747,419.7526995589199,276.41
211,211,26/1/2021,11:18:4:599,276.41,31.53,421.42,0.5539999999999999,941.747,419.7932056579341,276.41
212,212,26/1/2021,11:18:4:708,276.41,31.55,408.92,0.5539999999999999,941.747,419.83611470177874,276.41
213,213,26/1/2021,11:18:4:817,276.41,31.51,422.92,0.5539999999999999,941.747,419.8813843266123,276.41
214,214,26/1/2021,11:18:4:927,275.91,31.49,404.92,0.5539999999999999,941.747,419.9289694101117,276.41
215,215,26/1/2021,11:18:5:36,275.91,31.47,426.32,0.5529999999999999,941.747,419.9788213296968,276.41
216,216,26/1/2021,11:18:5:145,275.91,31.49,404.62,0.5539999999999999,941.747,420.0308879010633,276.41
217,217,26/1/2021,11:18:5:270,275.41,31.53,404.92,0.5539999999999999,941.747,420.0851126150337,276.41
218,218,26/1/2021,11:18:5:364,276.41,31.47,408.62,0.5539999999999999,941.747,420.1414319939772,276.41
219,219,26/1/2021,11:18:5:521,275.91,31.45,418.62,0.5539999999999999,941.747,420.1997738002778,276.41
220,220,26/1/2021,11:18:5:584,275.91,31.47,414.72,0.5539999999999999,941.747,420.2600587028695,276.41
221,221,26/1/2021,11:18:5:693,275.41,31.39,418.92,0.5539999999999999,941.747,420.322203112065,276.41
222,222,26/1/2021,11:18:5:803,276.41,31.55,401.92,0.5539999999999999,941.747,420.3861200438244,276.41
223,223,26/1/2021,11:18:5:912,276.91,31.53,422.32,0.5539999999999999,941.597,420.4517178102806,276.41
224,224,26/1/2021,11:18:6:37,276.41,31.47,439.42,0.5539999999999999,941.747,420.5189004071611,276.41
225,225,26/1/2021,11:18:6:131,276.91,31.41,425.42,0.5539999999999999,941.597,420.5875725699755,276.41
226,226,26/1/2021,11:18:6:271,276.41,31.57,423.52,0.5539999999999999,941.747,420.657644661951,276.41
227,227,26/1/2021,11:18:6:349,275.91,31.47,415.92,0.5539999999999999,941.747,420.72903215473207,276.41
228,228,26/1/2021,11:18:6:459,275.91,31.53,419.92,0.5539999999999999,941.747,420.80165211368006,276.41
229,229,26/1/2021,11:18:6:568,276.91,31.51,403.72,0.5539999999999999,941.597,420.8754201022488,276.41
230,230,26/1/2021,11:18:6:677,276.91,31.51,419.62,0.5539999999999999,941.597,420.950247546145,276.41
231,231,26/1/2021,11:18:6:787,276.41,31.47,423.52,0.5539999999999999,941.747,421.02604071805536,276.41
232,232,26/1/2021,11:18:6:896,275.91,31.47,423.82,0.5539999999999999,941.747,421.10270296440126,276.41
233,233,26/1/2021,11:18:7:21,275.91,31.43,420.52,0.5539999999999999,941.747,421.1801377533845,276.41
234,234,26/1/2021,11:18:7:115,276.41,31.53,426.32,0.5529999999999999,941.597,421.2582497893776,276.41
235,235,26/1/2021,11:18:7:286,275.41,31.43,424.42,0.5529999999999999,941.597,421.3369452550843,276.41
236,236,26/1/2021,11:18:7:333,275.91,31.61,441.22,0.5529999999999999,941.747,421.41613315973643,276.41
237,237,26/1/2021,11:18:7:443,276.41,31.51,404.32,0.5539999999999999,941.747,421.4957270346292,276.41
238,238,26/1/2021,11:18:7:552,276.41,31.51,422.62,0.5539999999999999,941.747,421.57564350745423,276.41
239,239,26/1/2021,11:18:7:662,275.91,31.53,422.92,0.5539999999999999,941.747,421.65579851424866,276.41
240,240,26/1/2021,11:18:7:771,276.41,31.57,423.22,0.5539999999999999,941.747,421.7361063609733,276.41
241,241,26/1/2021,11:18:7:880,276.41,31.49,423.22,0.5539999999999999,941.597,421.816481440576,276.41
242,242,26/1/2021,11:18:8:21,275.91,31.55,418.62,0.5539999999999999,941.747,421.89683892923085,276.41
243,243,26/1/2021,11:18:8:99,275.91,31.41,401.22,0.5539999999999999,941.747,421.9770931791562,276.41
244,244,26/1/2021,11:18:8:208,276.41,31.53,425.42,0.5529999999999999,941.747,422.0571543771384,276.41
245,245,26/1/2021,11:18:8:318,276.41,31.51,439.12,0.5529999999999999,941.747,422.1369279310505,276.41
246,246,26/1/2021,11:18:8:427,276.41,31.51,424.42,0.5529999999999999,941.747,422.216319429776,276.41
247,247,26/1/2021,11:18:8:536,276.41,31.49,421.12,0.5539999999999999,941.747,422.2952390794359,276.41
248,248,26/1/2021,11:18:8:646,275.91,31.55,423.52,0.5529999999999999,941.747,422.3736007427658,276.41
